accident_id;timestamp;address
1309439;10/01/2013 09:00;11, AVENUE DU TREMBLAY
1309440;01/04/2012 18:40;AVENUE DE NOGENT   VINCE
1309441;30/05/2012 08:00;AVENUE DE NOGENT
1309442;16/10/2012 07:00;12, AVENUE DE NOGENT
1309443;01/01/2013 03:50;AVENUE DES CANADIENS
1309444;18/07/2012 03:30;AVENUE DE NOGENT
1309445;25/12/2013 02:35;AVENUE DE NOGENT
1309446;20/12/2013 01:25;QUAI D IVRY
1309447;29/07/2012 22:50;QUAI D IVRY
1309448;03/09/2012 20:20;1, PLACE COLUCHE
1309449;19/12/2012 17:45;RUE DE TOLBIAC
1309450;04/11/2013 16:35;PLACE COLUCHE
1309451;20/09/2013 16:45;59, RUE DE L AMIRAL MOUC
1309452;30/09/2012 10:00;1, AVENUE PIERRE DE COUB
1309453;10/04/2013 07:25;61, RUE DE LA GLACIERE
1309454;16/09/2013 08:03;34, RUE DE LA GLACIERE
1309455;30/11/2012 07:50;51, BOULEVARD ARAGO
1309456;15/05/2013 09:35;46, BOULEVARD ARAGO
1309457;10/04/2013 22:30;48, BOULEVARD ARAGO
1309458;19/12/2013 15:00;53, BOULEVARD ARAGO
1309459;05/07/2012 09:40;101, BOULEVARD AUGUSTE B
1309460;11/01/2012 03:50;BOULEVARD AUGUSTE BLANQU
1309461;26/01/2012 21:35;PORTE DE GENTILLY
1309462;28/05/2012 14:20;PORTE DE GENTILLY
1309463;09/10/2013 23:10;39, RUE DE L ESPERANCE
1309464;14/01/2012 00:25;56, BOULEVARD AUGUSTE BL
1309465;17/06/2012 02:20;56, BOULEVARD AUGUSTE BL
1309466;20/10/2013 23:20;56, BOULEVARD AUGUSTE BL
1309467;08/12/2012 20:10;70, RUE BOBILLOT
1309468;10/04/2012 16:00;79, RUE BOBILLOT
1309469;15/10/2012 09:00;191, RUE DE TOLBIAC
1309470;31/10/2013 14:55;34, AVENUE DES GOBELINS
1309471;02/07/2013 19:40;RUE DE LA POTERNE DES PE
1309472;25/08/2013 21:50;AVENUE DE LA SOEUR ROSAL
1309473;01/05/2013 15:57;37-39, RUE DES PEUPLIERS
1309474;16/12/2012 19:30;45, AVENUE DES GOBELINS
1309475;05/05/2013 13:40;RUE JACQUES DESTREE
1309476;26/10/2013 17:25;160, RUE DE TOLBIAC
1309477;16/06/2012 22:20;01, RUE RUBENS
1309478;30/07/2012 11:30;RUE BOBILLOT
1309479;29/12/2012 02:00;BOULEVARD KELLERMANN
1309480;03/03/2013 10:10;3, PLACE D ITALIE
1309481;14/05/2012 08:30;1, PLACE D ITALIE
1309482;06/11/2013 21:45;30, PLACE D ITALIE
1309483;20/07/2013 11:00;23, AVENUE D ITALIE
1309484;07/08/2012 16:30;26, RUE RUBENS
1309485;09/01/2012 16:45;182, BOULEVARD VINCENT A
1309486;21/06/2012 06:00;RUE JEANNE D ARC
1309487;09/04/2012 11:35;70, AVENUE D ITALIE
1309488;25/05/2012 00:20;80, AVENUE D ITALIE
1309489;08/11/2012 20:25;140, RUE DE TOLBIAC
1309490;11/02/2012 17:30;61, AVENUE D ITALIE
1309491;27/11/2012 19:20;76, AVENUE D ITALIE
1309492;31/01/2013 07:45;140, RUE DE TOLBIAC
1309493;04/06/2013 11:50;55, AVENUE D ITALIE
1309494;25/12/2013 20:15;88, AVENUE D ITALIE
1309495;04/02/2012 17:30;128, BOULEVARD DE L HOPI
1309496;10/11/2012 20:40;112, AVENUE D ITALIE
1309497;23/09/2013 09:55;110, AVENUE D ITALIE
1309498;19/12/2012 22:30;154, AVENUE D ITALIE
1309499;29/07/2013 22:40;AVENUE DE LA PORTE D ITA
1309500;29/09/2013 05:30;BOULEVARD MASSENA
1309501;24/04/2012 08:10;118, AVENUE D IVRY
1309502;28/11/2012 22:04;122, RUE DE TOLBIAC
1309503;07/11/2012 18:25;ESPLANADE SAINT LOUIS
